Coding System	"Coding your qualitative research is useful to quantitatively understand your information. 

The coding system is done before and during the analysis, as new themes may emerged as researchers are coding the transcripts. This system can be applied to videotaped observations, interviews, written texts, visual images, or any interpretable artifacts."	"Guidelines:
1. Used a recursive, iterative process to develop the codes
2. Use a codebook to document decisions, definitions, and rules of coding
3. Conceptualizing the coding
- Allows to build an understanding of what is being researched
- Allows to gather data and look for patterns
4. Generating codes
- Separated themes by identifying words as markers of monitor and control
5. The first coding system
- Have a thorough discussion among research team to support and understand the codes
6. Generating the first code book
- After discussion, revised codebook as more themes emerged
7. A cycle of discussion, immersion of new coding themes, and revision of codebook
8. Coding: Analyze and documentation of transcripts with the given themes

"	"Benefits of Method:
-Increase understanding of the phenomenon being studied
-A good way to analyze data from interview transcripts

Deficits of Method: 
-Personal histories influenced research perspectives
-Researchers' academic training influenced coding
-Time consuming-"	"http://onlinelibrary.wiley.com/doi/10.1525/maq.1990.4.4.02a00020/pdfrnrnhttp://www.abdsurvivalguide.com/News/020603.htmrnrnhttp://www.planotes.org/documents/plan_04704.pdf
Weston, Cynthia, Gandell, Terry, Beauchamp, Jacinthe, McAlphine, Lynn, Wiseman, Carol, Beauchamp, Cathy. Analyzing Interview Data: The Development and Evolution of a Coding System."	"Communicating Ideas and Concepts
Analysis and Synthesis"							1299241231	1312277277																
Cognitive Maps	"Cognitive Mapping is a process composed of a series of psychological transformations by which an individual acquires, stores, recalls, and decodes information about the relative locations and attributes of the phenomena in his everyday spatial environment. 

This method should be either consciously or subconsciously employed for quick and efficient simplification and storage of complex information."	"Suspend impressions, thoughts, feelings and ideas until, for some reason, consciously or unconsciously, the mind solicits, changes, and often distorts or manipulates its contents for some immediate purpose.

In this way cognitive maps (images) allow us to bridge time, by using past experiences to understand present and future situations."	Benefits of Method: Provides information necessary for spatial decision making and to execute the consequent behavior	"Downs, R. M.  Stea, D. (1973c). Cognitive maps and spatial behaviour: process and products. In R.M. Downs  D. Stea, Eds., Image and Environment. Chicago, IL: Aldine, pp. 8-26.
Downing, F. (1992). image banks--dialogues between the past and the future. Environment and Behaviour, 24(4), 441-470.
Kitchin RM (1994). Cognitive Maps: What Are They and Why Study Them?. Journal of Environmental Psychology 14 (1): 119. doi:10.1016/S0272-4944(05)80194-X
http://my.safaribooksonline.com/book/-/9781592537563/12dot-cognitive-mapping/12_cognitive_mapping#X2ludGVybmFsX0J2ZGVwRmxhc2hSZWFkZXI/eG1saWQ9OTc4MTU5MjUzNzU2My8zMA==

↑ Downs, R. M. & Stea, D. (1973c). Cognitive maps and spatial behaviour: process and products. In R.M. Downs & D. Stea, Eds., Image and Environment. Chicago, IL: Aldine, pp. 8-26."	Analysis & Synthesis							1299528131	1310672476																
Cognitive walkthrough	Cognitive walkthrough involves one or a group of evaluators inspecting a user interface by going through a set of tasks and evaluate its understandability and ease of learning. The user interface is often presented in the form of a paper mock-up or a working prototype	 but it can also be a fully developed interface. The input to the walkthrough also include the user profile	 especially the users' knowledge of the task domain and of the interface	 and the task cases. The evaluators may include human factors engineers	 software developers	 or people from marketing	 documentation	 etc. This technique is best used in the design stage of development. But it can also be applied during the code	 test	 and deployment stages.	"Defining the Input to the Walkthrough:
1. Who will be the users of the system? 
2. What task(s) will be analyzed? 
3. What is the correct action sequence for each task?
4. How is the interface defined? 

Walking Through the Actions
1. Will the users try to achieve the right effect?
2. Will the user notice that the correct action is available?
3. Will the user associate the correct action with the effect to be achieved? 
4. If the correct action is performed, will the user see that progress is being made toward solution of the task?"		"(2006) Mattias Arvola, Henrik Artman, Interaction Walkthroughs and Improvised Role Play, paper presented at http://servicedesigntools.org/tools/11

http://www.pages.drexel.edu/~zwz22/CognWalk.htm"	Evalauting and Choosing															
Collaborative Authoring in Wikis	"Wiki is a tool used by many to author a document together. This method includes working together to achieve collective results that the participants would be incapable of accomplishing working online. Because of the nature of a wiki to combine all knowledge into one space, users can expect to be more informed after visiting a wiki.

In addition, summarizing a topic and addressing important information is a learning experience of its own. The ability to explain a topic in written form requires a sufficient understanding of the topic alone. 

Dandelion is an extension from Wiki. It is built to support coordinated, collaborative authoring in wikis with a tag-based function that allows specification of co-authoring tasks.  

Dandelion is better at supporting more structured collaborative document authoring, where the role of a coordinator is clear and the document outline is known"	To edit a wiki's node	 click on the 'Edit page' and input relevant information.	"Benefits of this method:
- Easy to use
- Leaders can know about the peer's status of a working document
- Monitor co-authoring tasks
- Collaborative contribution to a topic gives all involved a sense of community as well as responsibility. Users can feel that they are unified in a cause to inform as well as take ownership of what they contribute. A log that keeps information on which users input information adds to the sense of responsibility and accountability.

Deficits of this method:
- Conflicting opinions between coordinators and design participants as the Dandelion was used
- Disclosing unfinished products
- Reminder feature
-Due to the nature of collaborative sharing, information needs to be consistently checked for validity

This method drives the flow of collaboration and provides collaboration awareness."	"Chi, Changyan, Zhou, Michelle X., Yang, Min, Xiao, Wenpeng, Yu, Yiqin, Sun, Xiaohua. Dandelion: Supporting Coordinated, Collaborative Authoring in Wikis. 2010.
Wikipedia, 2006a. http://en.wikipedia.org/wiki/Collaboration
	Collaborative Authoring on the Web: A Genre Analysis of Online Encyclopedias. Emigh, William. Herring, Susan C. HICSS 05 Proceedings of the Proceedings of the 38th Annual Hawaii International Conference on System Sciences. 2004."																								
2001	 Guzdial	 Rick	  Kehoe	2001																									
 Ulrike. Panayioitis	 Zaphiris. Ang	" Chee Siang. Journal of Computer-Mediated Communication. 2006."""	"Communicating Ideas and Concepts
Gathering Information"							1303995834	1310142170																		
Communal Appraisal	Community Appraisal is a method that includes gauging the viewpoints of all members of a community on particular issues. Community Appraisals may be conducted to form a plan of action to resolve an issue or improve existing services. 			http://www.peopleandparticipation.net/display/Methods/Community+Appraisal	"Evaluating and Choosing
Gathering Information"																								
Community Development	Community development is a long term approach of building active and sustainable communities based on social justice and mutual respect. Moreover	 it is about changing power structures to remove the barriers that prevent people from participating in the issues that affect their lives and enabling the community itself to develop solutions to the problems that are set internally. 		"Ten principles of Community Development:
1. Start where the people are.
2. Build relationships; then introduce new ideas, showing how they meet identified needs.
3. Keep projects simple.
4. Involve as many community people as possible in all activities from the start.
5. Train people close to their home communities.
6. Train in locally acceptable ways (e.g. methods, facilities).
7. Train trainers who can train others.
8. Involve local leadership.
9. Cooperate with governments.
10. Encourage interdependent relationships vs. dependent or totally independent relationships."	"http://www.peopleandparticipation.net/display/Methods/Community+Development

http://www.hhc.rca.ac.uk/2261-2278/all/1/One_Shot.aspx

http://www-01.sil.org/anthro/communitywork.htm"	Building prortypes and mockups																							
Community Guides	"The Community Guide conducts systematic reviews of interventions in many topic areas to learn what works to promote public health.

"	"1. Form a coordination team to guide the review process
2. Develop a conceptual framework, called a ""logic model"" for the review
3. Identify and select interventions that the review will cover
4. Define and develop a conceptual approach for evaluating the interventions, called an ""analytic framework""
5. Identify criteria for including and excluding studies
6. Use the criteria to search for, retrieve, and screen abstracts
7. Review the full text of every study and code the data from each using The Community Guide abstraction form
8. Assess the quality of each study
9. Summarize all of the evidence found, called the ""body of evidence""
10. Identify issues of applicability and barriers to implementation (when available) for recommended interventions
11. Summarize information about other benefits or harms that might result from the interventions
12. Identify and summarize research gaps
13. Develop recommendations and findings
14. Conduct an economic evaluation of the interventions found to be effective"	Systematic reviews help make sense of large bodies of scientific literature by applying the scientific process to reduce bias in how conclusions are reached	 improve the power and precision of results	 summarize evidence about the effectiveness of particular approaches for addressing a public health problem	 analyze the generalizablity of findings	 and identify knowledge gaps and need for additional research.	"http://www.thecommunityguide.org/about/methods.html

http://www.peopleandparticipation.net/display/CaseStudies/Breaking+Barriers+Adult+Literacy+and+Numeracy+Research+Group ; http://www.peopleandparticipation.net/display/CaseStudies/Broughty+Ferry+Environmental+Project-Zoom"	"Gathering Information
Generating Ideas and Concepts
"																				
Competitive Product Survey	"Competitive Product Survey is a useful way to establish functional requirements, performace standards and other benchmarks. This method helps to increase awareness about ways in which other companies are solving similar problems, serves as a guide for what existing products can be improved on, and can help guide user research.
"	Collect	 compare	 and conduct evaluations of the product's competition	"Benefits of the Method: 
Helps to increase awareness about ways in which other companies are solving similar problems, serves as a guide for what existing products can be improved on, and can help guide user research.

Related Methods: document analysis, interviews, market research"	Competitive Product Survey	 IDEO Method Cards. ISBN 0-9544132-1-0	"Gathering Information
Generating Ideas and Concepts"							1304409159	1304409159													
Competitor Analysis	Competitor analysis identifies the strengths and weaknesses of competing products or services before starting work on prototypes. . 	"1. A 10 minute tour of each of 4 to 10 of the most popular competing products showing how typical tasks are achieved is presented to a half day meeting of stakeholders. 
2. The competitive advantages of each product are discussed
3. A short summary of the market position is generated at the end of the meeting"	"Benefits: To discover the strengths and weaknesses of competing products or services,
to develop a list of issues that need to be addressed in order to compete effectively
to gain consensus among a group of project stakeholders.

Related methods: questionnaire, usability tests of competitor products, market surveys"	"http://www.usabilitynet.org/tools/competitoranalysis.htm


http://www.marketitright.com

"	Analysis & Synthesis																								
Componential Analysis	"Componential analyis is the systematic search for the attributes (components of meaning) associated with cultural categories. Whenever an ethnographer discovers contrasts among the members of a domain, these contrasts are best thought of as attributes or components of meaning.

The purpose of Componential Analysis is to organize and represent contrasts discovered through ethnographies and taxonomies.

This method of organizing information should be used with ethnographic research, specifically with the methods of Participant Observation and Taxonomies"	"1. Select a domain for analysis
2. Inventory all contrasts previously discovered - Possibly start  with notes complied from asking contrast questions and/or making selective observations. (e.g. Aremnian Catholics speak Armenian as a first language; Shunni speak Arabic as a first language.)
3. Prepare a paradigm worksheet - consists of an empty paradigm in which you enter the cultural categories of the domain down the lefthand column, while making notes about the relationships between the paradigm and the other domains.
4. Identify dimensions of contrast that have binary values - A dimension of contrast is an idea or concept that has at least two parts, although in this case it specifically has two parts since the values must be binary. (e.g. If you were analyzing the domain ""kinds of trees,"" you would come up with one dimension of contrast that might be stated ""characterized by the presence of leaves."" This is a dimension of contrast related to trees and has two values or parts: ""yes"" or ""no."")
5. Combine closely related dimensions of contrast into ones that have multipe values - Instead of ""yes"" or ""no"" dimensions of contrast, add more complex ones such as ""First language,"" providing more qualitative information.
6. Prepare contrast questions for missing attributes
7. Conduct selective observations to discover missing information
8. Prepare a completed paradigm - This final paradigm can be used as a chart in ethnographic research."	"Related Methods: Classic Ethnography, Rapid Ethnography, Quick and Dirty Ethnography, Participant Observation, Taxonomies

Componential Analysis has been most frequently used to breakdown the meanings of somewhat related words with particular emphasis placed on kinship analysis words (eg: brother, mother, aunt) and their translation between languages. For example, one could compare the terms sister and brother and find that these terms are parallel in the sense that both are children of the same parent but will find that the words differ in gender identified.

James P. Spradley was on the forefront of using this term for ethnographic purposes when he published his book ""Participant Observation"" in 1980.
"	"Henning, Jeffery. Model Languages. 1 Nov. 1995. Web. 17 Feb. 2010. http://www.langmaker.com/ml0106a.htm.
Spradley, James P. Participant Observation. Holt, Rinehart and Winston, 1980. http://www.jstor.org/pss/2392270"	"Gathering Information
Analysis & Synthesis"							1304603293	1310574455																
Concept Mapping	"Concept mapping is a process that involves the identification of concepts in study materials and their organization from the most to the least general, more specific concepts (Novak, 1981, p. 3). The usage of concept mapping prevents mistakenly omitting important material as well as highlight the necessity of understanding how concepts relate to each other in a logical manner.

CM as a tool for designing  structuring curricula; also for helping students better retain information. Concept mapping can be utilized in multiple ways including: lesson planning, study guides, and tutorial outlines."	"1. Identify a particular activity or topic with a desire to understand more completely. It is most effective to clearly define the range of the topic so as keep the map contained and focused. Writing a Focus Question is a good way to define the domain of the map.
2. Designate the key concepts that are within this domain. A possible approach is to list the concepts and rank the concepts from most general to most specific.
3. Begin the concept map by placing all concepts in a space where they can easily be shifted. A good method to placing concepts in the map is to organize them by those with similar ranking and those that are easily relatable.
4.  Then create links between concepts in sub-domains. These links may contain specific words or phrases that clearly connect the concepts in order to clearly indicate their relationship.
5. A concept map requires continuous editing as new comprehension is introduced

Ultimately, concept mapping will result in a chart of ideas and their relationships to one another. This form of structuring topics enables the creator to visually understand and review how an overall Focus Question can be broken down into relevant sub-domains of important related concepts.
"	"Benefits of Method:
Research shows that concept mapping helps in gaining better and more comprehensive understanding of the learning material.
The usage of concept mapping prevents mistakenly omitting important material as well as highlight the necessity of understanding how concepts relate to each other in a logical manner.

Deficits of Method: 
Concept Mapping can be time consuming to prepare. 
When teachers review students’ concept maps, judging the correctness of the map may be difficult. 
While it may be clear that some relationships are faulty, the overall structuring of the map is subjective. Therefore, it may be hard to determine where exactly a weakness in comprehension may exist. "	"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.2955rep=rep1type=pdf
http://www.springerlink.com/content/mp2037k332016908/fulltext.pdf
http://ucelinks.cdlib.org:8888/sfx_local?sid=googleauinit=Haulast=Barenholzatitle=A+comprehensive+use+of+concept+mapping+in+design+instruction+and+assessmentid=doi:10.1080/0263514920100104title=Research+in+Science+%26+Technological+Educationvolume=10issue=1date=1992spage=37issn=0263-5143
http://www.springerlink.com/content/mp2037k332016908/fulltext.pdf
http://journals.lww.com/nurseeducatoronline/Abstract/1998/09000/Concept_Mapping__Navigating_the_Learning_Process.15.aspx
http://www.jstor.org/stable/40013436
http://www.sciencedirect.com/science?_ob=ArticleURL_udi=B6V8S-3Y8VJB0-F_user=4420_coverDate=11/30/1999_rdoc=1_fmt=full_orig=search_cdi=5878_sort=d_docanchor=view=c_rerunOrigin=scholar.google_acct=C000059607_version=1_urlVersion=0_userid=4420md5=3b6c372fa99cf036964f2
http://je-lks.maieutiche.economia.unitn.it/index.php/Je-LKS_EN/article/view/441/433
http://jama.ama-assn.org/content/284/9/1105.full"	"Evaluating and Choosing
Communicating Ideas and Concepts"							1307616116	1307617291																
Conjoint Techniques	"Conjoint analysis allows researchers to establish how much consumers value individual features of products or services.

Conjoint analysis can be used after there is a final product and a marketing strategy wants to be developed; which features to emphasize and what price to sell it at. It can also be used to determine what specific features and combination of features consumers find to be most important before designing a product."	"1. Conjoint analysis asks people to rate combinations of features, or to choose between two or more combinations. This forces them to make trade-off decisions which is closer to how they make choices in real life.
2. Analysis of the ratings allocates a value to each feature and to each of the options from which it is possible to estimate the value of any combination of these elements.
3. Simple conjoint analysis can be carried out by telephone or face-to-face interview. More complex problems may call for a computer-driven interview."	"Benefits of this method: Simulates the trade-off decisions that consumers make in real life

Related Methods: Interviews, Direct Observation, Focus Groups

Conjoint analysis was popularised as a tool for the practical analysis of rank order consumer judgment data by Green and Rao (1971) and Green and Wind (1973).

The theory that underlies the design and analysis of rank-order judgment experiments was developed by several writers (for example, Luce and Tukey, 1964; Kruskal, 1965; Tversky, 1967), and is summarised in Krantz et al, (1971)."	"Comber, Miriam. The Methods Lab: Conjoint Techniques.
Louviere, Jordan J. Conjoint Analysis Modelling of Stated Preferences: A Review of Theory, Methods, Recent Developments and External Validity. Journal of Transport Economics and Policy, Vol. 22, No. 1, Stated Preference Methodsin Transport Research (Jan., 1988), pp. 93-119."	"Gathering Information
Evaluating ideas/concepts"							1311156051	1312444420																
Consensus Conference	A consensus conference is made up of a panel of citizens who question expert witnesses on a particular topic at a public conference. Their recommendations are then circulated widely. 	"1. Selection of topic
2. Establishing funding
3. Choosing setting and venue
4. Recruitment of steering group members
5. Preparing/selecting introductory material
6. Selection of lay panel members and expert panel members
7. Preparatory phase for lay panel members
8. The public phase of the conference
9. Deliberations of the lay panel (internal)
10. Dissemination and Debriefing
11. Evaluating the conference

For more detailed information please see: http://www.ethicaltools.info/content/ET4%20Manual%20CC%20(Binnenwerk%2040p).pdf"	A feature of this method is that the initiative lies with the citizens- they who define what the key points of the debate will be	 including the choice of questions and selection of the witnesses -they create their own final conclusions. 	http://www.peopleandparticipation.net/display/Methods/Consensus+Conference	"Gathering Information
Communicating Ideas and Concepts"																							
Consensus Voting	"In consensus voting, everyone is allowed to put forward a proposal. In the debate, people can ask questions, seek clarifications, or have new ideas. At all times, facilitators maintain a list of all the options available.
"	"1. Consensus voting presents a range of voting options developed in consultation with stakeholders. 
2. Decision-makers are then invited to rank the options - the higher the preference for an option, the more points it gets. 
3. The number of points given to each option is counted."		http://www.peopleandparticipation.net/display/Methods/Consensus+Voting	Evaluating and Choosing																								
Constructive Interaction	"The constructive interaction is a method based on the observation of a user during his service experience.
"	The user is asked to think out loud while performing a given set of tasks	 so that the evaluators could listen to and record his thoughts.		http://servicedesigntools.org/tools/31	Gathering Information																							
Content Models	"Content models can be used in a variety of ways depending on the level of abstraction and simplicity. Content inventories, the most simple and abstract form, consist of simple lists inventorying the information and controls to be collected within a given interaction context.

Content models are appropriate during the prototype generation phase of the design process, when the design is still in more abstract forms. They serve as an appropriate lead-in to resolving detailed design decisions"	"1. Serve as an intermediate bridge between task models and realistic designs, smoothing, simplifying, and systematizing the design process.
2. Encourage reasoning and experimentation with how component parts of a user interface are combined and distributed to form a coherent, understandable, and usable whole.

After forming content models, the designer will have a user interface prototype with basic information, controls and form of organization that can be used for experimentation to promote the generation of a detailed user interface design."	"Benefits of Method:
-Facilitates problem solving in interface organization, navigation or overall structure without specific details.

Deficits of Method: 
-Lacks the ability to help resolve detail design decisions in layout, visual presentation, and component selection, as well as fine points in interaction design and interface behavior

Related Methods: Task Analysis, Canonical Abstract Prototyping"	Constantine	 Larry L.	 and Lucy A.D. Lockwood. Canonical Abstract Prototypes for Abstract Visual and Interaction Design. Interactive Systems. Design	 Specification	 and Verification. Berlin: Springer	2003	Building prototypes and mockups																			
Context Map	Context maps are designed to show the external factors	 trends	 and forces at work surrounding an organization. These include: politcal factors	 economic climate	 technology factors	 customer needs	 uncertainties	 and trends.	"Process: 
1. Hang six sheets of flip chart paper on  a wall ina  two row, 3 column format. 
2. on top middle sheet, draw representaion of organization under discussion. Label the picture or scene. 
3. On top left of same sheet, write political factors. On top right of same sheet, write ""ECONOMIC CLIMATE."" 
4. On top left sheet of slip chart paper, draw several arrows pointing to the right. Label the sheet ""TRENDS""
 5. On top right slip chart paper, write ""TRENDS"" again pointing to the left.
 6. On the bottom left sheet, draw large arrows pointing up and to the right. Label this ""TECHNOLOGY FACTORS"" 
7. On bottom middle sheet, write "" Customer Needs""
 8. On bottom right sheet, draw a thundercloud or a person with a question mark overhead and label this sheet ""Uncertainties""
 9. Introduce context map to the group. Explain goal is to get picture of how organization operates.
10. Discuss all categories and as a group think of what to fill in the trneds categories.
 11. Summarize the overall findings with the group and ask for observation, insights, and concerns of context map. "	This method has its basis in the idea that once we have a systemic view of the external environment we're in	 we are better equipped to respond proactively to that landscape. 	pg 86 (book in yellow red)	"Communicating Ideas and Concepts
Analysis and Sythesis"																
Context Panorama	The context panorama is a visualization of the first service ideas that are produced in the brainstorming process in order to feed the creative process and orient the following design activities. 	Each idea is visualized through a simple image (one or more than one if necessary). The pictures are presented together with some keywords that support the desired understanding of the message.		http://www.servicedesigntools.org/tools/7	Generating Ideas and Concepts																								
Context use of Analysis	"Context of Use (CoU) analysis is a generic technique that assists development by posing certain probe questions about the project. The probe questions elicit from the development team and other stakeholders in the project information that may be held 'below the surface' by one or more of the constituent groups.

Questions asked deal with the following three issues:
1. Who will use the software?
2. What will they do w the software?
3. Where will they use the software?"	"A good way to collect the information is to arrange a half-day meeting. Invite stakeholders who have knowledge about the intended users and usage. Suggested people involved:
- project manager
- user representative(s
- developer(s)
- training
- support

A the meeting, discuss and fill in each item on the context checklist. Try to obtain consensus where there is uncertainty or disagreement. If information is missing, agree how this can be obtained. Avoid prolonged discussion of minor issues.


After the meeting obtain any missing information. If the information is not easily available, arrange a field study to observe users in their work environment."	"Benefits of the method: 
Ensure that all factors that relate to use of the system are identified before design work starts.

Provide a basis for designing later usability tests

Related Methods:  user observation, interviews, survey questionnaires, or user participation in context of use analysis, focus groups or brainstorming."	"http://www.usabilitynet.org/tools/context.htm

http://www.ucc.ie/hfrg/emmus/methods/CoU.html"	"Gathering Information
Analysis & Synthesis"																								
Context-Aware Computing	"Context-aware computing is a style of computing in which situational and environmental information about people, places and things is used to anticipate immediate needs and proactively offer enriched, situation-aware and usable content, functions and experiences.

Context-aware compuing provides the means of considering the situation of use not only in the design process, but in real time while the device is in use."	"For more information, please see: http://www.interaction-design.org/encyclopedia/context-aware_computing.html
"		"http://www.gartner.com/it-glossary/context-aware-computing-2/
http://www.interaction-design.org/encyclopedia/context-aware_computing.html"	"Evalauting and Choosing
Building prototypes and mockups"																								
Contextual Design 	Contextual Design refers to a customer-centric approach to design where customer data forms the foundation for what a system does and how it is structured. It means working from customer data to design implications to specific features	 a process fueled by the customer's needs	 not technology's mandates. 	"
1. Contextual Inquiry: One-on-one interaction with people in the work place, while they work. Team interpretation sessions, where each member of the team puts their own perspective to bear on the data. This produces a shared understanding of the customer.
2. Work Modeling: Work models are created during the interpretation sessions introduced above. These work models take one of five forms, and allow a concrete, visual representation of the work that each interviewed customer engages in.
3. Consolidation: In this stage the team finds the common structure of the customers' work, bringing the many details together to produce a cohesive pattern. A single picture of the population is made explicit. This part of the CD process uses two tools: affinity diagrams and work models. Affinity diagrams illustrate each detail from each interviewed customer's experience, while work models integrate these details into an overarching picture. This picture then guides the design team in their task.
4. Work Redesign: Work Redesign focuses on the ways that the customers' work experience can be improved-- before any new technology or system is put in place. It takes the vision developed from the Consolidation stage and uses it as a base for any brainstorms of new technologies. Storyboards of how the experience would be different are helpful in this stage.
5. User Environment Design: User Environment Design makes the new system--and the new way of working that this implies--explicit. In this step each part of the new system is tied to the customer's work model, including ""how it supports the user's work, exactly what function is available in that part, and how it connects with other parts of the system"" (Beyer & Holtzblatt 24). This step justifies the new system's many parts, without having to commit and without involving a user interface. With each part of the step made explicit, the team can ensure that the many parts relate to one another and meet the customers' needs. It ensures coherence in the design process, keeping the system focused on the customer data.
6. Mock-Up & Test with Customers: Any system needs to be tested and tweaked before being finalized. This part of the process uses paper prototypes to introduce the initial concept of the design to the customer. This prototyping session with the customer enables the design team to work with the customers and individualize the system to meet their needs. Partnering with the client then spurs a detailed user interface and improved system.
7. Putting into Practice: Implement! The last step is to tailor your design system to the workplace itself."	"
Related Methods: the Pugh Matrix Process, storyboarding, affinity diagramming, paper prototyping, participatory design"	"Beyer  Holtzblatt. http://portal.acm.org/ft_gateway.cfm?id=291229type=pdfCFID=9762404CFTOKEN=79593428
	http://www4.ncsu.edu/~aianton/csc/rep/beyer.pdf"																							
																													
"
Building protorypes and mockups 
Evalauting and Choosing"																													
Conversation Cafes	Conversation Cafe is an informal dialogue method which invites people to take part in discussions about topical issues in an informal setting.	"1. Assemble up to 8 people plus host, hearty topic, a talking object, and time (60-90 min.). Host explains process and agreements.
2. Round 1: Pass around the talking object; each person speaks briefly to the topic, no feedback or response.
3. Round 2: Again with talking object, each person deepens their own comments or speaks to what has meaning now.
4. Dialogue: Open, spirited conversation. Use talking object if there is domination, contention, or lack of focus.
5. Final Round: With talking object, each person says briefly what challenged, touched or inspired them."	"Inclusivity: Create an inviting climate in which everyone is inspired to speak and listen, and where diverse perspectives may emerge.
One host at least – everyone able to host at best: Ensure that at least one host is present at each Conversation Café gathering – ideally every table has a host.
Open access: Anyone may participate who follows the “rules” (Process, Agreements and Principles). Conversation Cafés are open to all, without charge.
"	"http://www.conversationcafe.org/hostCorePrinciples.htm

http://www.peopleandparticipation.net/display/Methods/Conversation+Cafes"	"Gathering Information
Generating Ideas and Concepts
Communicating Ideas and Concepts"																								
Cost-Benefit Analysis	"Cost-Benefit Analysis (CBA) estimates and totals up the equivalent money value of the benefits and costs to the community of projects to establish whether they are worthwhile. 

Applying a user-centric approach to the design of any product can radically improve the performance of individual projects and your business as a whole. 

This method can be used for businesses and project management."	"To calculate the cost-benefits of usability and user centred design, we estimate the potential savings during development, sales, use and support, and we estimate the costs that would be incurred through user centered actiivities.

1. List alternative projects/programs.
2. List stakeholders.
3. Select measurement(s) and measure all cost/benefit elements.
4. Predict outcome of cost and benefits over relevant time period.
5. Convert all costs and benefits into a common currency.
6. Apply discount rate.
7. Calculate net present value of project options.
8. Perform sensitivity analysis.
9. Adopt recommended choice."	"Benefits of the method: 
-More accurate designs
-Proof that your designs work
-Provides accurate picture of how users work 
-No more 'last minute' changes 
-Less stress at user acceptance testing (UAT) 
"	"http://www.usabilitynet.org/management/c_benefits.htm

http://www.sjsu.edu/faculty/watkins/cba.htm"	Analysis & Synthesis																								
Coverstory	Game about pure imagination. Purpose is to think expansively around an ideal future state of the organization	 an exercise in visioning. Object of the game is to suspend all disbelief and envision a future state that is so stellar that it landed your organization on the cover of a well-known magazine. The players must pretend as though this future has already taken place and has been reported by the mainstream media. Worth doing this acitivity because it not only encourages people to think big  but also actually plants the seeds for a future that perhaps wasnt possibly before the game was played. 	"1. Before the meeting, draw out large scale templated that include the categories: quotes, images, sidebars, cover, brainstorms, and Big Headlines. The number of templates you create depends on the size of the group. At most, allow four to six people work on one template together. 
2. Explain the object of the game and define each category on the template. 
Cover: tells the Big Story of their success. 
Headlines: convery the substance of the cover story.
Sidebars: reveal interesting facets on the cover story. 
Quotes: can be from anyone as long as they're related to the story
Brainstorm: is for documenting initial ideas for the cover story
Images are for supporting the content with illustrations. 
3. break the players into groups of 4-6 people and make sure there are markers and one template for each group. Tell the players to populate the template they can either select a scibe or write and draw on it together. 
4. Ask the players to imagine best case scenario ofr their company to take that  scenario one step further. write down the story of the year on the template. 
5. Tell groups to stop and ome together to present their visions first. Give each group 5-10 minutes to share what they imagined was written in the story and supporting elements. 
6. Note any common vision themes and areas of agreement. Ask for  observations, insights, and conerns about the future state. "	"Benefit: Worth playing because it not only encourages people to ""think big"" but also actually plants the seeds for a future that perhaps wasn't possible before the game was played. "	pg 88	"Gathering informATION
Analyzing/synthesizing information, 
Idea/concept generation"		based on the Grove Consultants International's Leaders Guide to Accompany the Cover Story. 																					
Critical Incident Technique Analysis	"The CIT is a method for getting a subjective report while minimising interference from stereotypical reactions or received opinions. It is an open-ended retrospective method of finding out what users feel are the critical features of the software being evaluated. 
"	"End users are asked to identify specific incidents which they experienced personally and which had an important effect on the final outcome. The emphasis is on incidents rather than vague opinions. 

The context of the incident may also be elicited. Data from many users is collected and analysed."	"Benefits of the method: 
-More flexible than a questionnaire or survey and is recommended in situations where the only alternative is to develop a questionnaire or survey from the start. It focuses on user behaviour, so it can be used in situations where video recording is not practicable so long as the inherent bias of retrospective judgement is understood.

Related method: content analysis"	"http://www.usabilitynet.org/tools/criticalincidents.htm

Flanagan JC (1954) The Critical Incident Technique. Psychological Bulletin, 51.4, 327-359

Carlisle, K. E. (1986) . Analyzing Jobs and Tasks. Englewood Cliffs, NJ: Educational Technology Publications, Inc."	"
Gathering Information
Analysis and Synthesis
Evalauting and Choosing"																								
Cultural Inventory	"Cultural inventory is the process of reviewing all fieldnotes from previous ethnographic research in an effort to perceive the cultural experience holistically, identify any possible gaps in the research that can be easily filled, and to discover methods of organizing the final ethnography paper.

Use this method after conducting ethnographic research, taxonomies, and componential analyses, but before writing a final ethnography paper.
"	"1. Make a list of cultural domains
2. Make a list of analyzed domains - Look through the analysis and interpretation sections of field notebook(s) to find which domains have been analyzed; distinguish domains by completion status (e.g. complete, partial, or incomplete analysis).
3. Collect sketch maps - Sketch maps include the physical space as well as any ritual activities or complex machinery/technology
4. Make a list of themes - List all the major and minor themes discovered.
5. Inventory examples - In essence, a description of some concrete event or experience, specifically of those events relevant to the main domains that will be important in the final ethnographic paper.
6. Identify organizing domains - Look over list of domains and see if any can serve as organizing domains
7. Make an index or table of contents - Go through fieldnotes and identify first the main categories, then look through each and mark down the page numbers of the contents.
8. Inventory miscellaneous data - Compile data in addition to fieldnotes, which can help with qualitative analysis in the final paper.
9. Additional research possibilities - List future research possibilities both endogenous and exogenous to the cultural scene, whose findings can build on and extend from the current research."	Related Methods: Classic Ethnography	 Participant Observation	 Taxonomies	 Componential Analysis	Spradley	 James P. Participant Observation. Holt	 Rinehart and Winston	1980	Analysis & Synthesis							1311839502	1311848963										
